IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
410002,7,7,8,10,10,8,10,10,,6,5
410003,,9,9,9,9,9,9,,,,
410004,,5,9,3,10,4,5,4,,,2
410005,5,5,5,5,4,6,5,5,,4,4
410006,8,10,8,8,8,8,9,7,,7,
410007,10,7,9,9,8,9,9,8,8,9,8
410009,3,10,4,3,4,10,10,,5,8,5
410010,6,10,9,8,8,6,9,10,,9,9
410011,10,10,10,10,10,10,10,10,9,10,10
410012,8,6,7,7,,,7,9,,,7
410013,,9,7,10,9,,7,7,,9,
410014,,,1,,,,,,,,1
410015,10,10,9,10,9,10,10,9,9,10,9
410016,10,10,1,10,10,,10,10,,,
410017,,7,6,7,5,7,5,,,,
410018,,,,,10,10,10,,,,
410019,8,6,,,,,,,,,4
410020,9,9,9,9,9,9,9,9,9,9,9
410021,,,1,,1,,,1,,,
410022,10,,7,8,8,,9,,,,
410023,10,9,8,8,8,8,8,,,,8
410024,9,10,2,5,5,9,7,8,,5,5
410025,2,10,3,1,1,3,4,10,,,1
410026,7,10,7,8,8,8,8,7,,,7
410027,10,9,10,9,10,9,10,9,,,6
410028,7,8,6,9,10,8,7,,,,
410029,,10,9,10,10,10,10,,,9,
410030,,8,7,8,8,9,9,8,9,5,9
410031,,9,8,8,8,8,,9,,,8
410032,7,7,7,7,7,7,7,5,,5,7
410033,6,3,10,3,10,,5,,,,5
410034,8,8,8,8,8,8,8,8,,,
410035,9,8,9,8,8,9,8,8,,,8
410036,7,8,8,5,8,7,9,,6,5,5
410037,6,6,8,6,6,6,8,4,,,6
410038,,,5,8,6,5,,8,,,8
410039,4,8,4,8,6,4,6,,,,8
410040,9,10,9,9,10,10,10,,,,10
410041,6,5,6,8,7,8,8,,,,8
410042,,,8,,8,,5,6,,,5
410044,10,8,10,10,10,10,10,10,,,10
410045,7,5,3,10,10,1,9,,,,
410046,10,10,10,8,10,9,8,10,,,
410047,,6,5,,3,,4,5,,,
410048,,9,9,9,8,6,9,,,,6
410049,3,2,4,2,4,2,3,,2,,3
410050,5,5,8,9,7,5,6,,,6,7
410051,5,5,6,6,8,7,6,6,,,7
410052,4,8,3,5,6,,4,6,4,,3
410053,7,9,8,6,8,9,7,7,,8,7
410054,9,,9,9,8,9,7,9,,,8
410055,,6,5,4,6,5,5,,,,4
410056,10,10,10,9,10,10,10,,,10,10
410057,6,9,8,7,8,,,,,,
410059,,,10,,,,,10,,10,
410060,7,7,9,7,5,,9,7,,,
410061,10,10,6,10,10,9,6,10,10,10,7
410062,6,4,10,7,2,10,10,1,2,5,2
410063,5,5,5,6,5,5,8,5,5,5,5
410064,,10,8,8,9,8,,10,,,8
410065,10,10,,10,10,10,10,,,,10
410066,,8,8,9,,,,,,,
410067,5,4,4,5,4,5,5,5,,,
410068,5,10,6,7,6,9,9,,,,5
410069,10,10,10,10,9,10,10,,,,10
410070,5,8,6,6,7,8,6,,,,5
410071,7,9,7,7,7,6,6,,,,
410072,,,10,,5,,,,,,
410074,10,10,10,8,9,8,8,,,,10
410075,5,7,6,5,5,6,5,,4,9,5
410076,,5,10,1,3,,,,,,
410077,5,,,6,7,,7,,,,
410078,1,8,1,6,9,2,6,,,4,2
410079,7,8,5,7,6,7,7,,6,6,6
410081,10,10,,8,10,10,10,10,,1,
410082,10,10,10,7,10,,10,,,,8
410083,8,7,7,6,6,7,9,,,9,5
410084,10,10,10,,,,10,,,,
410085,9,9,6,8,9,4,9,10,,,10
410086,10,9,9,6,8,9,7,8,,9,6
410087,7,8,6,,5,7,5,,,3,6
410088,10,7,10,,8,9,5,10,,,
410089,9,9,,9,9,9,9,9,,,10
410090,9,8,8,8,8,7,8,8,,,7
410091,5,8,2,3,4,,4,6,,,
410092,,10,8,9,7,10,9,,,,
410093,4,5,5,4,,,4,,,,
410094,8,10,7,7,6,9,7,,,,
410095,9,9,10,9,,9,9,10,,,
410097,,10,,8,,,8,,,,
410098,,,6,,6,,,,,,
410099,7,,7,7,,,8,,,,
410100,,10,10,10,9,,10,10,,10,
410101,8,,,4,6,9,7,,,,
410102,10,7,,10,,,,,,,
410103,8,10,10,6,10,3,3,3,5,,7
410104,8,8,,7,9,7,,,,,8
410106,10,,9,10,10,9,10,,,,10
410107,10,8,10,6,6,10,10,,,10,7
410108,7,8,5,5,7,6,6,5,4,7,6
410109,10,,,10,10,10,10,,,,8
410110,9,8,7,7,8,8,9,8,8,9,9
410111,8,7,8,7,9,5,7,4,,,7
410112,7,,6,8,7,7,8,8,,,6
410113,4,6,5,6,10,8,6,,,,8
410114,10,10,7,8,7,10,8,10,10,10,5
410115,6,5,6,6,6,6,6,,,8,
410117,3,2,3,3,2,2,4,,3,5,2
410118,,1,1,1,10,10,10,1,,,
410119,5,8,6,6,6,6,9,,5,,5
410120,10,10,9,6,,,,8,,,
410121,7,7,8,8,7,7,7,7,7,9,6
410122,8,8,8,9,9,9,7,,,10,
410123,,6,6,,8,8,6,6,,,
410124,7,10,9,9,10,8,9,10,7,10,8
410126,4,10,10,5,10,8,7,10,,,4
410127,8,8,8,9,7,,6,7,,,
